Suomen Valkoisen Ruusun suurristi / Storkorset av Finlands Vita Ros orden 
Lindqvist-Virtanen, Carin Elisabeth, apulaisosastopäällikkö, Helsinki
Linko, Solveig, ylikemisti, Helsinki
Martikainen, Ahti Tapio, johtaja, Helsinki
Mattila, Timo Juhani, ylijohtaja, Espoo
Mellais, Erkki Tapio, vakuutusoikeustuomari, Helsinki
Merisalo, Tiina-Sisko, museonjohtaja, Helsinki
Mickwitz, Per Aleksander, tutkimusjohtaja, Helsinki
Molkentin-Matilainen, Pirkko Katriina, toimitusjohtaja, Espoo
Murto, Risto Olavi, liikenneneuvos, Helsinki
Mustonen, Jyri Timo Olavi, tieinsinööri, Riihimäki
Myllynen, Ilkka Antero, käräjätuomari, Joensuu
Mäenmaa, Arto Kalevi, Jenny ja Antti Wihurin rahaston asiamies, Helsinki
Mäkinen, Heikki Tapani, kansanedustaja, Vantaa
Mäkinen, Jaakko Isto Sakari, tutkimusprofessori, Helsinki
Mäkinen, Juha Antero, johtaja, Nurmijärvi
Niemelä, Arja Aulikki, esittelijäneuvos, Helsinki
Niemi, Juha Kalevi, lähetystöneuvos, Helsinki Geneve
Niemi, Merja Helinä, neuvotteleva virkamies, Hyvinkää
Nieminen, Marko Tapio, johtaja, Nokia
Nieminen, Terhi Katariina, henkilöstöjohtaja, Tampere
Nohynek, Hanna Maria, ylilääkäri, Vantaa
Nokso-Koivisto, Outi Kaarina, käräjätuomari, Espoo
Nuolioja, Vesa Antero, johtaja, Oulu
Nurmi, Antti Sakari, läänineläinlääkäri, Kouvola
Nyberg, Clara Margaretha Elisabeth, överläkare, Mariehamn
Ojala, Juha Pekka, varatoimitusjohtaja, Kerava
Ojala-Walker, Liisa Päivikki, johtaja, Helsinki
Orjala, Helvi Hannele, tilastojohtaja, Nurmijärvi
Ottela, Jukka Tapio, toimitusjohtaja, Lahti
Paanila, Juha Matti Sakari, hallinto- ja talousjohtaja, Mikkeli
Paatero, Sirpa Hannele, kansanedustaja, Kotka
Palo, Sanna Maija, rikosylitarkastaja, Kirkkonummi
Parkkonen, Leo Jaakko, lainsäädäntöneuvos, Espoo
Paukkunen, Sini Pauliina, lähetystöneuvos, Vantaa
Peltonen, Terttu Inkeri, jalostusjohtaja, Helsinki
Perttunen, Eero Lennart, piiriagronomi, Pelkosenniemi
Pipatti, Riitta Kristiina, kehittämispäällikkö, Espoo
Pitkäranta, Ann-Mari Marjukka, kehittämispäällikkö, Tampere
Pohjanheimo, Päivi Marianne, lähetystöneuvos, Helsinki
Pullola, Kristian Erik, talousjohtaja, Helsinki
Puotinen, Seppo Tapani, johtaja, Ruotsi
Pylväs, Sirkka-Liisa, peruspalvelukeskuksen johtaja, Lahti
Pöllänen, Riitta Sinikka, yksikön päällikkö, Rovaniemi
Pöyhönen, Lea Inkeri, ympäristöjohtaja, Kuopio
Pöysäri, Pasi Ilmari, lähetystöneuvos, Helsinki
Rahkonen, Keijo Sakari, yliopistonlehtori, Helsinki
Rajamäki, Juha Tapani, apulaisjohtaja, Helsinki
Rajaniemi, Kaisa Sinikka, ylijohtaja, Espoo
Rantala, Marja Elina, johtaja, Jyväskylä
Rantalankila, Tarmo Kalevi, johtava lakimies, Porvoo
Rautio, Sari Annika, Lähetystöneuvos, Helsinki Bryssel
Resla, Jouko Juhani, ekonomi, Colleyville USA
Rihkanen, Heikki Juhani, ylilääkäri, Helsinki
Riippa, Heikki Emanuel, Poliisin tekniikkakeskuksen johtaja, Kouvola
Ritari, Teppo Ari Tapani, kirkkoherra, Leppävirta
Rytilä, Tuula Kyllikki, markkinointijohtaja, Espoo
Räsänen, Reijo Juhani, toimitusjohtaja, Jyväskylä
Rönkä, Matti, uutisjuontaja, Helsinki
Rönneikkö, Matti Petri Juhani, tieinsinööri, Espoo
Rönnholm, Ragna Helena, forskningskoordinator, Helsinki
Saarinen, Asko Juhani, aluejohtaja, Jyväskylä
Sadeoja, Tapio Sakari, päätoimittaja, Helsinki
Sahi, Petri, käräjätuomari, Kuopio
Salminen, Timo Juhani, käräjätuomari, Helsinki
Salo, Heikki Martti Julius, ylilääkäri, Rovaniemi
Salonen, Heikki Olavi, järjestöpäällikkö, Tampere
Savela, Antti Sakari, käräjätuomari, Ii
Savolainen, Sauli Eljas, ylifyysikko, Helsinki
Siissalo, Ilkka Tapio, tietohallintojohtaja, Tuusula
Simberg, Susanna, professor, Åbo
